country,year,life_exp,population,pm
BLZ,2007,70.655,297173.0,10.41
BLZ,2008,71.151,305671.0,9.2399998
BLZ,2009,71.819,314171.0,8.9200001
BLZ,2010,72.272,322106.0,10.61
BLZ,2011,72.651,329538.0,11.67
BLZ,2012,73.245,337059.0,8.3299999
BLZ,2013,73.666,344688.0,10.36
BLZ,2014,73.311,352335.0,9.0100002
BLZ,2015,73.187,359871.0,8.8599997
BLZ,2016,73.399,367313.0,8.1700001
BLZ,2017,73.562,374693.0,9.0500002
BLZ,2018,73.703,382066.0,7.96
BMU,2000,77.8853658536585,61833.0,4.3699999
BMU,2001,77.8853658536585,62504.0,3.97
BMU,2002,78.0878048780488,62912.0,3.73
BMU,2003,78.3341463414634,63325.0,3.72
BMU,2004,78.4853658536585,63740.0,3.78
BMU,2005,78.6853658536586,64154.0,4.0599999
BMU,2006,78.8878048780488,64523.0,3.4400001
BMU,2007,78.9341463414634,64888.0,3.97
BMU,2008,79.2365853658537,65273.0,3.22
BMU,2009,79.3884390243903,65636.0,2.71
BMU,2010,79.2885365853658,65124.0,3.01
BMU,2011,81.1526829268293,64564.0,2.9300001
BMU,2012,81.6778048780488,64798.0,2.9200001
BMU,2013,80.5724390243902,65001.0,2.5799999
BMU,2014,80.7973170731707,65138.0,2.74
BMU,2015,81.0121951219512,65237.0,2.6300001
BMU,2016,81.2270731707317,64554.0,2.28
BMU,2017,81.4419512195122,63873.0,2.28
BMU,2018,81.6517073170732,63918.0,2.1700001
BOL,1998,61.332,8286928.0,22.780001
BOL,1999,61.871,8439052.0,24.860001
BOL,2000,62.346,8592656.0,22.959999
BOL,2001,62.843,8746084.0,24.76
BOL,2002,63.306,8900583.0,26.799999
BOL,2003,63.635,9057378.0,26.799999
BOL,2004,64.004,9216279.0,30.49
BOL,2005,64.386,9377388.0,29.07
BOL,2006,64.779,9542663.0,26.219999
BOL,2007,65.027,9711152.0,31.459999
BOL,2008,65.446,9880593.0,25.959999
BOL,2009,65.88,10051317.0,24.51
BOL,2010,66.162,10223270.0,32.25
BOL,2011,66.534,10396246.0,27.16
BOL,2012,66.705,10569697.0,25.23
BOL,2013,67.021,10743349.0,23.85
BOL,2014,67.163,10916987.0,25.129999
BOL,2015,67.318,11090085.0,25.790001
BOL,2016,67.628,11263015.0,25.969999
BOL,2017,67.701,11435533.0,26.280001
BOL,2018,67.748,11606905.0,24.719999
BRA,1998,69.189,171039804.0,8.8199997
BRA,1999,69.524,173486281.0,8.1199999
BRA,2000,69.737,175873720.0,8.6700001
BRA,2001,70.195,178211881.0,10.16
BRA,2002,70.41,180476685.0,10.95
BRA,2003,70.72,182629278.0,11.02
BRA,2004,71.131,184722043.0,11.02
BRA,2005,71.753,186797334.0,10.83
BRA,2006,72.037,188820682.0,10.55
BRA,2007,72.365,190779453.0,11.47
BRA,2008,72.715,192672317.0,10.89
BRA,2009,72.948,194517549.0,10.89
BRA,2010,73.182,196353492.0,10.74
BRA,2011,73.343,198185302.0,10.41
BRA,2012,73.552,199977707.0,10.18
BRA,2013,73.918,201721767.0,10.12
BRA,2014,74.306,203459650.0,10.15
BRA,2015,74.332,205188205.0,11.03
BRA,2016,74.442,206859578.0,10.42
BRA,2017,74.827,208504960.0,10.13
BRA,2018,75.109,210166592.0,10.18
BRB,1998,73.728,263642.0,1.87
BRB,1999,74.039,264170.0,2.3699999
BRB,2000,74.089,264657.0,1.98
BRB,2001,74.247,265377.0,2.3599999
BRB,2002,74.366,266455.0,2.01
BRB,2003,74.472,267499.0,2.1700001
BRB,2004,74.727,268505.0,1.9299999
BRB,2005,74.89,269477.0,2.1600001
BRB,2006,75.068,270425.0,2.0599999
BRB,2007,75.342,271444.0,2.03
BRB,2008,75.447,272635.0,2.03
BRB,2009,75.678,273791.0,2.26
BRB,2010,75.712,274711.0,2.8299999
BRB,2011,75.917,275486.0,2.05
BRB,2012,76.099,276197.0,2.25
BRB,2013,76.275,276865.0,1.8099999
BRB,2014,76.476,277493.0,1.67
BRB,2015,76.65,278083.0,1.89
BRB,2016,76.815,278649.0,2.1099999
BRB,2017,76.936,279187.0,2.3099999
BRB,2018,77.067,279688.0,1.9
BRN,1998,73.619,320152.0,14.05
BRN,1999,73.863,327045.0,5.0100002
BRN,2000,74.08,333926.0,4.9099998
BRN,2001,74.276,340748.0,5.3899999
BRN,2002,74.426,347463.0,9.1599998
BRN,2003,74.561,354045.0,7.48
BRN,2004,74.65,360461.0,8.1999998
BRN,2005,74.731,366717.0,7.5
BRN,2006,74.783,372808.0,10.06
BRN,2007,74.818,378748.0,6.1199999
BRN,2008,74.84,384568.0,5.3499999
BRN,2009,74.846,390311.0,11.52
BRN,2010,74.849,396053.0,6.8600001
BRN,2011,74.858,401506.0,7.8000002
BRN,2012,74.827,406634.0,7.8499999
BRN,2013,74.799,411702.0,7.0
BRN,2014,74.779,416656.0,7.5900002
BRN,2015,74.75,421437.0,11.11
BRN,2016,74.733,425994.0,8.25
BRN,2017,74.722,430276.0,5.3200002
BRN,2018,74.712,434274.0,6.9699998
BTN,1998,61.549,557143.0,18.219999
BTN,1999,62.23,570990.0,18.559999
BTN,2000,62.01,587207.0,23.139999
BTN,2001,63.444,603234.0,26.32
BTN,2002,64.078,619048.0,24.889999
BTN,2003,64.696,634627.0,25.66
BTN,2004,65.268,649991.0,25.450001
BTN,2005,65.805,663323.0,27.139999
BTN,2006,66.362,673260.0,27.51
BTN,2007,66.954,681614.0,26.08
BTN,2008,67.499,689737.0,27.01
BTN,2009,67.897,697678.0,31.299999
BTN,2010,68.43,705516.0,25.85
BTN,2011,68.881,713331.0,26.940001
BTN,2012,69.326,721145.0,29.389999
BTN,2013,69.707,728889.0,26.200001
BTN,2014,70.049,736357.0,28.860001
BTN,2015,70.343,743274.0,28.209999
BTN,2016,70.602,749761.0,26.18
BTN,2017,70.847,756121.0,26.41
BTN,2018,71.129,762096.0,28.620001
BWA,1998,52.523,1655699.0,15.79
BWA,1999,51.694,1691558.0,14.16
BWA,2000,51.011,1726985.0,12.94
BWA,2001,50.676,1761930.0,15.45
BWA,2002,50.632,1795130.0,13.72
BWA,2003,50.947,1826863.0,15.82
BWA,2004,51.617,1859085.0,13.46
BWA,2005,52.61,1892807.0,15.6
BWA,2006,53.918,1928704.0,12.67
BWA,2007,55.732,1966977.0,14.53
BWA,2008,57.121,2007320.0,14.98
BWA,2009,58.279,2048997.0,14.52
BWA,2010,60.013,2091664.0,18.040001
BWA,2011,60.53,2134037.0,12.79
BWA,2012,60.8,2175425.0,14.48
BWA,2013,61.996,2217278.0,14.23
BWA,2014,62.608,2260376.0,11.85
BWA,2015,63.818,2305171.0,15.07
BWA,2016,65.464,2352416.0,13.92
BWA,2017,66.753,2401840.0,13.1
BWA,2018,65.422,2451409.0,14.02
CAF,1998,46.025,3555064.0,28.540001
CAF,1999,45.75,3655360.0,27.309999
CAF,2000,45.406,3759170.0,28.219999
CAF,2001,45.393,3844773.0,23.77
CAF,2002,45.409,3930648.0,23.75
CAF,2003,45.76,4026841.0,25.02
CAF,2004,46.038,4115138.0,25.73
CAF,2005,46.433,4208834.0,24.620001
CAF,2006,46.851,4294352.0,22.559999
CAF,2007,47.426,4375569.0,25.1
CAF,2008,48.016,4467233.0,25.719999
CAF,2009,48.648,4564540.0,26.370001
CAF,2010,49.255,4660067.0,26.26
CAF,2011,49.948,4732022.0,28.049999
CAF,2012,50.686,4773306.0,26.200001
CAF,2013,50.902,4802428.0,27.59
CAF,2014,50.566,4798734.0,25.58
CAF,2015,52.793,4819333.0,25.370001
CAF,2016,53.46,4904177.0,25.93
CAF,2017,53.721,4996741.0,25.219999
CAF,2018,54.369,5094780.0,27.33
CAN,1998,78.6341463414634,30155173.0,8.8800001
CAN,1999,78.8853658536585,30401286.0,7.9899998
